reference,doi,title,year,type,journal,authors
hal-01726328,10.1111/sjos.12433,Beyond tail median and conditional tail expectation: extreme risk estimation using tail $L^p$-optimisation,2020,Article,Scandinavian Journal of Statistics,Laurent Gardes; Stéphane Girard; Gilles Stupfler
hal-02135891,10.1109/mcse.2019.2949413,Attributing and Referencing (Research) Software: Best Practices and Outlook from Inria,2019,Article,Computing in Science and Engineering,Pierre Alliez; Roberto Di Cosmo; Benjamin Guedj; Alain Girault; Mohand-Said Hacid; Arnaud Legrand et al.
hal-01701425,10.1137/18m1221837,Gradient-based dimension reduction of multivariate vector-valued functions,2020,Article,SIAM Journal on Scientific Computing,Olivier Zahm; Paul Constantine; Clémentine Prieur; Youssef Marzouk
hal-02355822,10.1119/10.0000299,Single photon beat note in an acousto-optic modulator-based interferometer,2020,Article,American Journal of Physics,Renaud Mathevet; Benoît Chalopin; Sébastien Massenot
hal-02356347,10.1109/tac.2019.2944381,Structural controllability of networks with dynamical structured nodes,2020,Article,IEEE Transactions on Automatic Control,Christian Commault
hal-02356358,10.1109/tcns.2019.2950587,Generic controllability of networks with identical SISO dynamical nodes,2020,Article,IEEE Transactions on Control of Network Systems,Christian Commault; Alain Kibangou
hal-02358014,10.1016/j.cagd.2020.101838,Interpolation of G1 Hermite data by C1 cubic-like sparse Pythagorean hodograph splines,2020,Article,Computer Aided Geometric Design,Rachid Ait-Haddou; Carolina Vittoria Beccari; Marie-Laurence Mazure
hal-02359535,10.1016/j.ensm.2018.12.017,Electrochemical study of pseudocapacitive behavior of Ti3C2Tx MXene material in aqueous electrolytes,2019,Article,Energy Storage Materials,Hui Shao; Zifeng Lin; Kui Xu; Pierre-Louis Taberna; Patrice Simon
hal-02263481,10.1021/acsnano.9b01457,Fast electrochemical storage process in sputtered Nb2O5 porous thin films,2019,Article,ACS Nano,Cassandra Arico; Saliha Ouendi; Pierre-Louis Taberna; Pascal Roussel; Patrice Simon; Christophe Lethien
hal-02360481,10.1038/s41560-019-0339-9,Influences from solvents on charge storage in titanium carbide MXenes,2019,Article,Nature Energy,Xuehang Wang; Tyler S. Mathis; Ke Li; Zifeng Lin; Lukas Vlcek; Takeshi Torita et al.
hal-02361259,10.1109/tro.2019.2948801,Communication-aware energy efficient trajectory planning with limited channel knowledge,2020,Article,IEEE Transactions on Robotics,Daniel Bonilla Licea; Moises Bonilla; Mounir Ghogho; Samson Lasaulce; Vineeth Varma
hal-02362049,10.1016/j.ensm.2019.03.013,3D rGO aerogel with a superior electrochemical performance for K -Ion battery,2019,Article,Energy Storage Materials,Liyuan Liu; Jean-Yves Chane-Ching; Zifeng Lin; Hui Shao; Pierre-Louis Taberna; Patrice Simon
hal-02363013,10.1093/comjnl/bxz166,Terminating Exploration Of A Grid By An Optimal Number Of Asynchronous Oblivious Robots,2021,Article,The Computer Journal,Stéphane Devismes; Anissa Lamani; Franck Petit; Pascal Raymond; Sébastien Tixeuil
hal-02350920,10.3233/jae-171110,An expression of the magnetic co-energy adapted to magnetostatic volume integral formulations - application to the magnetic force computation,2019,Article,International Journal of Applied Electromagnetics and Mechanics,Quentin Debray; Gérard Meunier; Olivier Chadebec; Jean-Louis Coulomb; Anthony Carpentier
hal-02350903,10.1109/tmag.2019.2895755,Fault Identification on a Fuel Cell by 3-D Current Density Reconstruction From External Magnetic Field Measurements,2019,Article,IEEE Transactions on Magnetics,Lyes Ifrek; Olivier Chadebec; Sebastien Rosini; Gilles Cauffet; Yann Bultel; Bertrand Bannwarth
hal-02350991,10.1016/j.electacta.2019.04.193,Fault detection for polymer electrolyte membrane fuel cell stack by external magnetic field,2019,Article,Electrochimica Acta,Lyes Ifrek; Sebastien Rosini; Gilles Cauffet; Olivier Chadebec; Luc Rouveyre; Yann Bultel
hal-02366182,10.1016/j.jmmm.2019.165746,Electrodeposition of equiatomic FeNi and FeCo nanowires: Structural and magnetic properties,2020,Article,Journal of Magnetism and Magnetic Materials,Naima Mansouri; Nassima Benbrahim-Cherief; Eric Chaînet; Frédéric Charlot; Thierry Encinas; Salem Boudinar et al.
hal-02366988,10.1002/hbm.24839,Hubs disruption in mesial temporal lobe epilepsy. A resting‐state fMRI study on a language‐and‐memory network,2020,Article,Human Brain Mapping,Elise Roger; Cédric Pichat; Laurent Torlay; Olivier David; Felix Renard; Sonja Banjac et al.
hal-02368932,10.1109/tpami.2019.2900309,Generic Primitive Detection in Point Clouds Using Novel Minimal Quadric Fits,2020,Article,IEEE Transactions on Pattern Analysis and Machine Intelligence,Tolga Birdal; Benjamin Busam; Navab Nassir; Slobodan Ilic; Peter Sturm
hal-02368999,10.1109/iccv.2019.00158,Calibration Wizard: A Guidance System for Camera Calibration Based on Modelling Geometric and Corner Uncertainty,2020,Communication,,Songyou Peng; Peter Sturm
hal-02350924,10.1109/tmi.2018.2856367,Magnetoencephalography With Optically Pumped He-4 Magnetometers at Ambient Temperature,2019,Article,IEEE Transactions on Medical Imaging,Etienne Labyt; Marie-Constance Corsi; William Fourcault; Augustin Palacios Laloy; Francois Bertrand; Francois Lenouvel et al.
hal-02371425,10.1007/jhep03(2020)145,Search for new resonances in mass distributions of jet pairs using 139 fb$^{-1}$ of $pp$ collisions at $\sqrt{s}=13$ TeV with the ATLAS detector,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02371536,10.1016/j.physletb.2020.135341,Evidence for electroweak production of two jets in association with a $Z\gamma$ pair in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,2020,Article,Phys.Lett.B,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02371636,10.1103/physrevlett.125.022301,Probing the effects of strong electromagnetic fields with charge-dependent directed flow in Pb-Pb collisions at the LHC,2020,Article,Phys.Rev.Lett.,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02371639,10.1140/epjc/s10052-020-7624-4,Transverse momentum and process dependent azimuthal anisotropies in $\sqrt{s_{\mathrm{NN}}}=8.16$ TeV $p$+Pb collisions with the ATLAS detector,2020,Article,Eur.Phys.J.C,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02372138,10.1109/iccad49821.2020.9260507,Implementation of a cost optimization algorithm in a context of distributed maintenance,2020,Communication,,Zineb Simeu-Abazi; E. Gascard
hal-02372413,10.1016/j.physletb.2020.135377,Measurement of electrons from semileptonic heavy-flavour hadron decays at midrapidity in pp and Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02372426,10.1088/1748-0221/16/05/p05019,Versatile firmware for the Common Readout Unit (CRU) of the ALICE experiment at the LHC,2021,Communication,,O. Bourrion; J. Bouvier; F. Costa; E. David; J. Imrek; T.M. Nguyen et al.
hal-02372475,10.1016/j.physletb.2020.135262,$Z$ boson production in Pb+Pb collisions at $\sqrt{s_{\textrm{NN}}}$= 5.02 TeV measured by the ATLAS experiment,2020,Article,Phys.Lett.B,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02353077,10.1007/s11548-019-02072-3,Predicting the quality of surgical exposure using spatial and procedural features from laparoscopic videos,2020,Article,International Journal of Computer Assisted Radiology and Surgery,Arthur Derathé; Fabian Reche; Alexandre Moreau-Gaudry; Pierre Jannin; Bernard Gibaud; Sandrine Voros
hal-02372642,10.1016/j.bej.2019.107435,Antimicrobial warnericin RK peptide functionalized GaAs/AlGaAs biosensor for highly sensitive and selective detection of Legionella pneumophila,2020,Article,Biochemical Engineering Journal,M. Amirul Islam; Walid Hassen; Azam Tayabali; Jan Dubowski
tel-02372650,10.70675/4943873azb2c6z432czb281z1dea6b17d318,Huntingtine et développement cortical,2019,Thèse / HDR,,Julien Le Friec
hal-02370378,10.1109/tnsm.2019.2948420,A survey of fault management in network virtualization environments: challenges and solutions,2019,Article,IEEE Transactions on Network and Service Management,Sihem Cherrared; Sofiane Imadali; Eric Fabre; Gregor Gössler; Imen Grida Ben Yahia
hal-02365013,10.1093/nar/gkz1001,JASPAR 2020: update of the open-access database of transcription factor binding profiles.,2020,Article,Nucleic Acids Research,Oriol Fornés; Jaime Castro-Mondragon; Aziz Khan; Robin van Der Lee; Xi Zhang; Phillip Richmond et al.
hal-02373268,10.1021/acscentsci.9b00800,Carbons with Regular Pore Geometry Yield Fundamental Insights into Supercapacitor Charge Storage,2019,Article,ACS Central Science,Yifei Michelle Liu; Céline Merlet; Berend Smit
hal-02373370,10.22323/1.364.0579,LHC constraints on the minimal Dirac gaugino model,2020,Communication,,Guillaume Chalons; Mark Goodsell; Sabine Kraml; Humberto Reyes-González; Sophie L. Williamson
hal-02373640,10.1007/978-3-030-70075-1,Méthodes Level Set pour l'interaction fluide-structure,2021,Ouvrage,,Georges-Henri Cottet; Emmanuel Maitre; Thomas Milcent
hal-02375075,10.1242/jcs.226951,Loss of the deglutamylase CCP5 perturbs multiple steps of spermatogenesis and leads to male infertility,2019,Article,Journal of Cell Science,Tiziana Giordano; Sudarshan Gadadhar; Satish Bodakuntla; Jonas Straub; Sophie Leboucher; Guillaume Martinez et al.
hal-02375391,10.4310/cms.2022.v20.n1.a2,Identification of time-varying source term in time-fractional diffusion equations,2022,Article,Communications in Mathematical Sciences,Yavar Kian; Eric Soccorsi; Q I Xue; Masahiro Yamamoto
hal-02376463,10.1016/j.ultras.2019.106019,Tracking fluids in multiple scattering and highly porous materials: toward applications in non-destructive testing and seismic monitoring,2020,Article,Ultrasonics,Romain Théry; Antoine Guillemot; Odile Abraham; Éric Larose
hal-02377065,10.1109/lawp.2019.2955890,Angle Sensor Based on Chipless RFID Tag,2020,Article,IEEE Antennas and Wireless Propagation Letters,Nicolas Barbot; Olivier Rance; Etienne Perret
hal-02379153,10.1002/hbm.24571,Tracking the acquisition of anticipatory postural adjustments during a bimanual load-lifting task: A MEG study,2019,Article,Human Brain Mapping,Franck Di Rienzo; Fanny Barlaam; Sébastien Daligault; Claude Delpuech; Alice C Roy; Olivier Bertrand et al.
hal-02299068,10.1109/tcad.2019.2928972,Simulation and Experimental Demonstration of the Importance of IR-Drops During Laser Fault-Injection,2020,Article,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Raphael Andreoni Camponogara-Viera; Philippe Maurine; Jean-Max Dutertre; Rodrigo Possamai Bastos
hal-02379741,10.1007/s10107-019-01426-8,Shorter tours and longer detours: uniform covers and a bit beyond,2021,Article,Mathematical Programming,Arash Haddadan; Alantha Newman; R. Ravi
hal-02380097,10.1209/0295-5075/127/34002,A Lagrangian formulation for a gravitational analogue of the acoustic radiation force,2019,Article,EPL - Europhysics Letters,Pierre-Yves Gires; Jerôme Duplat; Aurélien Drezet; Cédric Poulain
hal-02381559,10.4135/9781529714333.n13,Chapter 10 : Political anthropology and its legacy,2020,Chapitre d'ouvrage,,Yves Schemeil
hal-01352060,10.24033/asens.2430,K-Stability of Fano spherical varieties,2020,Article,Annales Scientifiques de l'École Normale Supérieure,Thibaut Delcroix
hal-02381999,10.1051/0004-6361/201936791,First detection of the Crab Nebula at TeV energies with a Cherenkov telescope in a dual-mirror Schwarzschild-Couder configuration: the ASTRI-Horn telescope,2020,Article,Astronomy & Astrophysics - A&A,S. Lombardi; O. Catalano; S. Scuderi; L.A. Antonelli; G. Pareschi; E. Antolini et al.
hal-02382010,10.1016/j.physletb.2020.135225,Evidence of rescattering effect in Pb-Pb collisions at the LHC through production of $\rm{K}^{*}(892)^{0}$ and $\phi(1020)$ mesons,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02382011,10.1016/j.physletb.2020.135564,Global baryon number conservation encoded in net-proton fluctuations measured in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02382012,10.1016/j.physletb.2020.135375,Longitudinal and azimuthal evolution of two-particle transverse momentum correlations in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 2.76 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02382013,10.1140/epjc/s10052-020-8118-0,Azimuthal correlations of prompt D mesons with charged particles in pp and p–Pb collisions at $\sqrt{s_{NN}}$ = 5.02 TeV,2020,Article,Eur.Phys.J.C,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02382014,10.1103/physrevc.102.024912,$\rm{K}^{*}(\rm{892})^{0}$ and $\phi(1020)$ production at midrapidity in pp collisions at $\sqrt{s}$ = 8 TeV,2020,Article,Phys.Rev.C,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02382015,10.1016/j.physletb.2020.135419,Investigation of the p–Σ0 interaction via femtoscopy in pp collisions,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02382025,10.1103/physrevc.101.044907,"Production of charged pions, kaons, and (anti-)protons in Pb-Pb and inelastic $pp$ collisions at $\sqrt {s_{NN}}$ = 5.02 TeV",2020,Article,Phys.Rev.C,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02379498,10.1137/18m1234795,"Dynamical systems coupled with monotone set-valued operators: Formalisms, applications, well-posedness, and stability",2020,Article,SIAM Review,Bernard Brogliato; Aneel Tanwani
hal-02382367,10.7554/elife.44830,Neuronal integration in the adult mouse olfactory bulb is a non-selective addition process,2019,Article,eLife,Jean-Claude Platel; Alexandra Angelova; Stéphane Bugeon; Jenelle Wallace; Thibault Ganay; Ilona Chudotvorova et al.
hal-02383328,10.1016/j.physletb.2020.135414,Measurement of the (anti-)3He elliptic flow in Pb–Pb collisions at sNN=5.02TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Souvik Priyam Adhya; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal et al.
hal-02383409,10.1007/jhep02(2020)042,Measurement of differential cross sections for single diffractive dissociation in $\sqrt{s} = 8$ TeV $pp$ collisions using the ATLAS ALFA spectrometer,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Ovsat Abdinov; Adam Abed Abud; Kira Abeling et al.
hal-02383422,10.1016/j.physletb.2020.135434,Centrality and transverse momentum dependence of inclusive J/ψ production at midrapidity in Pb–Pb collisions at sNN=5.02 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02383424,10.1016/j.physletb.2020.135501,Multiplicity dependence of K*(892)$^{0}$ and $\phi$(1020) production in pp collisions at $\sqrt {s}$ =13 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02383442,10.1103/physrevlett.125.012301,Evidence of Spin-Orbital Angular Momentum Interactions in Relativistic Heavy-Ion Collisions,2020,Article,Phys.Rev.Lett.,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02383444,10.1016/j.physletb.2020.135486,$ϒ$ production in p–Pb collisions at $\sqrt{s_{NN}}$=8.16 TeV,2020,Article,Phys.Lett.B,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02384748,10.1515/dialect-2020-0002,Désignation et représentation des éléments topographiques dans les dialectes de France : l'élévation de terrain,2020,Article,Dialectologia et Geolinguistica,Philippe del Giudice
hal-02384769,10.1515/dialect-2021-0001,"Désignation et représentation des éléments topographiques dans les dialectes de France : synthèse générale (relief, cours d'eau, cavernes)",2021,Article,Dialectologia et Geolinguistica,Philippe del Giudice
hal-02384675,10.1109/cvpr42600.2020.01200,Hierarchical Scene Coordinate Classification and Regression for Visual Localization,2020,Communication,,Xiaotian Li; Shuzhe Wang; Yi Zhao; Jakob Verbeek; Juho Kannala
hal-02171225,10.1136/gutjnl-2018-317423,Functional microRNA screen uncovers O-linked N-acetylglucosamine transferase as a host factor modulating hepatitis C virus morphogenesis and infectivity,2020,Article,Gut,Katharina Herzog; Simonetta Bandiera; Sophie Pernot; Catherine Fauvelle; Frank Jühling; Amélie Weiss et al.
hal-02387038,10.1007/s12008-019-00632-0,Correlation between process openness and collaboration tool usage in open source hardware design: an empirical study,2020,Article,International Journal on Interactive Design and Manufacturing,X. Dai; Jean-François Boujut; Franck Pourroy; Philippe René Marin
hal-02387607,10.1007/978-3-030-30021-0_37,Use of Edge-on Impact Tests with Synchrotron-Based MHz Radioscopy to Investigate the Multiple Fragmentation Process in SiC Ceramics,2020,Chapitre d'ouvrage,,Pascal Forquin; Bratislav Lukic; Yannick Duplan; Dominique Saletti; Daniel Eakins; Alexander Rack
hal-02388322,10.1007/s10703-020-00345-1,Abstraction Refinement and Antichains for Trace Inclusion of Infinite State Systems,2020,Article,Formal Methods in System Design,Lukáš Holík; Radu Iosif; A Rogalewicz; T Vojnar
hal-02388351,10.1002/anie.201814075,A Dissolution/Precipitation Equilibrium on the Surface of Iridium-Based Perovskites Controls Their Activity as Oxygen Evolution Reaction Catalysts in Acidic Media,2019,Article,Angewandte Chemie International Edition,Ronghuan Zhang; Nicolas Dubouis; Manel Ben osman; Wei Yin; Moulay Tahar Sougrati; Daniel A. D. Corte et al.
hal-02391581,10.1103/physreve.101.062802,Thin-Film Modelling of Resting and Moving Active Droplets,2020,Article,"Physical Review E : Statistical, Nonlinear, and Soft Matter Physics [2001-2015]",Sarah Trinschek; Fenna Stegemerten; Karin John; Uwe Thiele
hal-02391965,10.1016/j.jcrysgro.2019.125372,"Aqueous solution growth at 200 °C and characterizations of pure, 17O- or D-based herbertsmithite ZnxCu4-x(OH)6Cl2 single crystals",2020,Article,Journal of Crystal Growth,Matias Velázquez; Fabrice Bert; Philippe Mendels; Dominique Denux; Philippe Veber; Michel Lahaye et al.
hal-02392007,10.1016/j.jmb.2019.11.027,Intracellular Positioning Systems Limit the Entropic Eviction of Secondary Replicons Toward the Nucleoid Edges in Bacterial Cells,2020,Article,Journal of Molecular Biology,Charlène Planchenault; Marine C Pons; Caroline Schiavon; Patricia Siguier; Jérôme Rech; Catherine Guynet et al.
hal-02392924,10.1103/physrevd.101.032009,Search for direct stau production in events with two hadronic $\tau$-leptons in $\sqrt{s} = 13$ TeV $pp$ collisions with the ATLAS detector,2020,Article,Phys.Rev.D,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02392960,10.1103/physrevc.101.024906,Measurement of the azimuthal anisotropy of charged-particle production in $Xe+Xe$ collisions at $\sqrt{s_{\mathrm{NN}}}=5.44$ TeV with the ATLAS detector,2020,Article,Phys.Rev.C,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02392963,10.1088/1748-0221/15/04/p04003,ATLAS data quality operations and performance for 2015–2018 data-taking,2020,Article,JINST,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02393134,10.1029/2018ms001445,Major Issues in Simulating Some Arctic Snowpack Properties Using Current Detailed Snow Physics Models: Consequences for the Thermal Regime and Water Budget of Permafrost,2019,Article,Journal of Advances in Modeling Earth Systems,Florent Dominé; Ghislain Picard; Samuel Morin; Mathieu Barrere; Jean-Benoît Madore; Alexandre Langlois
hal-02393505,10.1103/physrevlett.124.151302,Fractal Geometry of Higher Derivative Gravity,2020,Article,Physical Review Letters,Maximilian Becker; Carlo Pagani; Omar Zanusso
hal-02394220,10.1016/j.dark.2019.100365,Recommendations on presenting LHC searches for missing transverse energy signals using simplified $s$-channel models of dark matter,2020,Article,Physics of the Dark Universe,Antonio Boveia; Oliver Buchmueller; Giorgio Busoni; Francesco d'Eramo; Albert de Roeck; Andrea de Simone et al.
hal-02394743,10.1103/physrevc.101.064901,Jet-hadron correlations measured relative to the second order event plane in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 2.76 TeV,2020,Article,Phys.Rev.C,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02394773,10.1080/1536383x.2019.1671372,Rambutan peel based hard carbons as anode materials for sodium ion battery,2019,Article,"Fullerenes, Nanotubes and Carbon Nanostructures",Arenst Andreas Arie; Hans Kristianto; Henky Muljana; Lorenzo Stievano
hal-02394147,10.1287/moor.2019.1014,Power-of-d-Choices with Memory: Fluid Limit and Optimality,2020,Article,Mathematics of Operations Research,Jonatha Anselmi; François Dufour
lirmm-02395626,10.1007/s10836-020-05858-5,On Using Approximate Computing to Build an Error Detection Scheme for Arithmetic Circuits,2020,Article,Journal of Electronic Testing: : Theory and Applications,Bastien Deveautour; Arnaud Virazel; Patrick Girard; Valentin Gherman
hal-02395850,10.1016/j.jcrysgro.2019.125385,Experimental and numerical investigations of the Czochralski growth of Li2MoO4 crystals for heat- scintillation cryogenic bolometers,2020,Article,Journal of Crystal Growth,C. Stelian; M. Velazquez; Philippe Veber; A Ahmine; T. Duffar; P. de Marcillac et al.
hal-02318089,10.1016/j.jmps.2019.103749,Bubble collapse induced cavitation erosion: Plastic strain and energy dissipation investigations,2020,Article,Journal of the Mechanics and Physics of Solids,Shrey Joshi; Jean-Pierre Franc; Giovanni Ghigliotti; Marc C. Fivel
hal-02396048,10.1016/j.epsl.2019.116011,Laboratory experiments to unveil the molecular reactivity occurring during the processing of ices in the protosolar nebula,2020,Article,Earth and Planetary Science Letters,Thomas Gautier; G. Danger; O. Mousis; F. Duvernay; V. Vuitton; L. Flandinet et al.
hal-02397015,10.1007/s10008-019-04436-w,Oxygen Reduction Reaction Mechanism and Kinetics on M-NxCy and M@N-C Active Sites Present in Model M-N-C Catalysts Under Alkaline and Acidic Conditions,2021,Article,Journal of Solid State Electrochemistry,Ricardo Sgarbi; Kavita Kumar; Frederic Jaouen; Andrea Zitolo; Edson Ticianelli; Frédéric Maillard
halshs-02397651,10.4324/9780429243684,"The Impact of World War I on Marriages, Divorces, and Gender Relations in Europe",2020,Ouvrage,,Sandra Brée; Saskia Hin
hal-02376578,10.1038/s41598-019-53518-2,Locomotion and eating behavior changes in Yucatan minipigs after unilateral radio-induced ablation of the caudate nucleus,2019,Article,Scientific Reports,Nicolas Coquery; Jean-François Adam; Christian Nemoz; Regis Janvier; Jayde Livingstone; Alain Chauvin et al.
hal-02398824,10.1109/icit45562.2020.9067200,Power management in multi-microgrid system based on energy routers,2020,Communication,,Minh-Cong Pham; Reza Reza Razi; Quoc-Tuan Tran; Seddik Bacha; Ahmad Hably; Hossein Iman-Eini
hal-02398825,10.1109/icit45562.2020.9067116,Robust hybrid control of parallel inverters for accurate power-sharing in microgrid,2020,Communication,,Reza Reza Razi; Minh-Cong Pham; Ahmad Hably; Seddik Bacha; Quoc-Tuan Tran; Hossein Iman-Eini
hal-02398826,10.1109/icit45562.2020.9067178,An overview of Hybridization of Power sources for Ancillary Service,2020,Communication,,Ritu Raj Shrivastwa; Ahmad Hably; Seddik Bacha; Hugo Mesnage; Renaud Guillaume
hal-02398827,10.1109/icit45562.2020.9067274,Evolution representation with limited hosting capacities: A comparison between MSD and IEED,2020,Communication,,Andres Ovalle; Ahmad Hably; Seddik Bacha
hal-02399114,10.1016/j.porgcoat.2019.105408,Self-organization of complete organic monolayers via sequential post-deposition annealing,2020,Article,Progress in Organic Coatings,Stefano Chiodini; Gabriele D’avino; Luca Muccioli; Luca Bartolini; Denis Gentili; Stefano Toffanin et al.
hal-02399439,10.1007/978-3-030-77886-6_10,Fast Verification of Masking Schemes in Characteristic Two,2021,Communication,,Nicolas Bordes; Pierre Karpman
hal-02399821,10.1007/978-3-030-30978-7_18,Protocol of an Interdisciplinary and Multidimensional Assessment of Pollution Reduction Measures in Urban Areas: MobilAir Project,2020,Chapitre d'ouvrage,,Sandrine Mathy; Hélène Bouscasse; Sonia Chardonnel; Aïna Chalabaev; Stephan Gabet; Carole Treibich et al.
hal-02399934,10.1109/access.2020.3009878,Approximate Bayesian computation via the energy statistic,2020,Article,IEEE Access,Hien D Nguyen; Julyan Arbel; Hongliang Lu; Florence Forbes
hal-02400019,10.1109/tpds.2019.2906172,"ERPOT: A Quad-Criteria Scheduling Heuristic to Optimize Execution Time, Reliability, Power Consumption and Temperature in Multicores",2019,Article,IEEE Transactions on Parallel and Distributed Systems,Athena Abdi; Alain Girault; Hamid Zarandi
hal-02400451,10.1186/s13660-020-02357-1,On the Hurwitz zeta function with an application to the exponential-beta distribution,2020,Article,Journal of Inequalities and Applications,Julyan Arbel; Olivier Marchal; Bernardo Nipoti
hal-02402427,10.1149/2.0721915jes,Means of Using Cyclic Voltammetry to Rapidly Design a Stable DMC-Based Electrolyte for Na-Ion Batteries,2019,Article,Journal of The Electrochemical Society,Claudio Cometto; Guochun Yan; Sathiya Mariyappan; Jean‐marie Tarascon
hal-02402467,10.1051/epjconf/202022800018,GASTON: Galactic Star Formation with NIKA2: A new population of cold massive sources discovered,2020,Communication,,N. Peretto; A. Rigby; R. Adam; P. Ade; P. André; A. Andrianasolo et al.
hal-02403126,10.1016/j.jcta.2020.105270,Orientations and bijections for toroidal maps with prescribed face-degrees and essential girth,2020,Article,"Journal of Combinatorial Theory, Series A",Eric Fusy; Benjamin Lévêque
hal-02403463,10.1103/physrevlett.125.097402,Spin fine-structure reveals bi-exciton geometry in an organic semiconductor,2020,Article,Physical Review Letters,K. M. M Yunusova; S. L. L Bayliss; T. Chanelière; V. Derkach; J. E. E Anthony; Alexei Chepelianskii et al.
hal-02403566,10.1007/jhep03(2020)054,Measurement of the $Z(\rightarrow\ell^+\ell^-)\gamma$ production cross-section in $pp$ collisions at $\sqrt{s} =13$ TeV with the ATLAS detector,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02403738,10.1103/physrevc.101.044906,Production of (anti-)$^3$He and (anti-)$^3$H in p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,2020,Article,Phys.Rev.C,Shreyasi Acharya; Dagmar Adamova; Alexander Adler; Jonatan Adolfsson; Madan Mohan Aggarwal; Gianluca Aglieri Rinella et al.
hal-02403753,10.1051/epjconf/202022800012,A low-mass galaxy cluster as a test-case study for the NIKA2 SZ Large Program,2020,Communication,,F. Kéruzoré; R. Adam; P. Ade; P. André; A. Andrianasolo; M. Arnaud et al.
